Type;Record;Author;Year;Journal;Title;Series;Published;Volume;Pages;Date;ShortTitle;Label;Keywords;Abstract;Language;Notes
  Book;396; T. V. Koshkina and A. A. Kishchinski;1958;; The feeding of the Raven on the tundra of the Kola Peninsula and at the 'Seven Islands'. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transactions of the Kandalaksha State Reserve); Vologda;1;79-88;1958; The feeding of the Raven on the tundra of the Kola Peninsula and at the 'Seven Islands'. (in Russian);1250; Barents Sea, Murman, Common Eider, Predators;;;
  Book;425; V. G. Kulachkova;1958;; Ticks in the nests of the Common Eider. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transactions of the Kandalaksha State Reserve); Vologda;1;89-91;1958; Ticks in the nests of the Common Eider. (in Russian);4500; Common Eider, Parasites;;;
  Book;426; V. G. Kulachkova;1958;; Fleas in the nests of Common Eider, and epidemic control. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transaction of the Kandalaksha State Reserve); Vologda;1;93-102;1958; Fleas in the nests of Common Eider, and epidemic control. (in Russian);4510; Common Eider, Parasites;;;
  Book;427; V. G. Kulachkova;1958;; An ecological and faunistic review on the parasitic fauna of the Common Eider of the Kandalaksha Bay. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transactions of the Kandalaksha State Reserve); Vologda;1;103-159;1958; An ecological and faunistic review on the parasitic fauna of the Common Eider of the Kandalaksha Bay. (in Russian);4520; Common Eider, Parasites;;;
  Book;493; G. A. Novikov;1958;; A systematical review of the animals of the Kola Peninsula. (in Russian); Zhivotny mir SSSR. (Wildlife of the USSR); Moscow-Leningrad;5;550-556;1958; A systematical review of the animals of the Kola Peninsula. (in Russian);4970; Barents Sea, Murman, Many orders, Distribution;;;ProCite field[24]: 2
  Book;495; B. N. Ovchinnikov;1958;; Common data on the nature resourses of islands in the Barents and the White seas. (in Russian); Trudy Kandalakshskogo gosdarstvennogo zapovednika (Transactions of the Kandalaksha State Reserve); Vologda;1;7-35;1958; Common data on the nature resourses of islands in the Barents and the White seas. (in Russian);1420; Barents Sea, Murman, White Sea, Many orders, Distribution;;;
  Journal Article;595; E. P. Spangenberg and V. V. Leonovich;1958; Byulleten MOIP, novaya seriya, otdel. biol. (Bulletin of the Moscow Society of Nature Explorers, New seria. Biological department); The influence of human activity on the birds at eastern shore of the White Sea. (in Russian);;;63;31-36;1958; The influence of human activity on the birds at eastern shore of the White Sea. (in Russian);1710; White Sea, Many orders, Management;;;
  Journal Article;596; E. P. Spangenberg and V. V. Leonovich;1958; Problemy Severa. (Problems of the North); New data on the geographical distribution and biology of the birds at the eastern shore of the White Sea. (in Russian);;;2;194-202;1958; New data on the geographical distribution and biology of the birds at the eastern shore of the White Sea. (in Russian);1720; White Sea, Many orders, Distribution, Breeding, Management;;;
  Journal Article;666; S. M. Uspenski;1958; Okhota i okhotnich'e  khozyaystvo.  (Game and game industry); The Eider. (in Russian);;;5;;1958; The Eider. (in Russian);1910; Barents Sea, White Sea, Common Eider, Population size, Harvesting, Management;;;
  Book;667; S. M. Uspenski;1958;; Ptitsy Sovetskoy Arktiki. (Birds of the Soviet Arctic). (in Russian);; Moscow;;166;1958; Ptitsy Sovetskoy Arktiki. (Birds of the Soviet Arctic). (in Russian);1990; Barents Sea, White Sea, Many orders, Distribtion;;;
  Book;668; S. M. Uspenski;1958;; Some bird species in the north-eastern part of the european USSR. (in Russian); Uchenye zapiski MGU, ornitologiya. (Scientific notes of the Moscow State University. Ornithology); Moscow;197;35-48;1958; Some bird species in the north-eastern part of the european USSR. (in Russian);5820; Barents Sea, Common Eider, King Eider, Population size, Breeding, Distribution;;;
  Conference Proceedings;72; V. V. Biancki;;; Bird migration in the Kandalaksha Bay. (in Russian);; Vilnus;;21-30;1959; Bird migration in the Kandalaksha Bay. (in Russian);610; White Sea, Many Orders, Movements, Phenology;;;
  Conference Proceedings;73; V. V. Biancki;;; Seasonal observations on the number of Eiders in the Kandalaksha Bay. (in Russian);; Moscow;3;23-24;18-25 August 1959; Seasonal observations on the number of Eiders in the Kandalaksha Bay. (in Russian);800; White Sea, Common Eider, Population size;;;
  Journal Article;159; V. T. But'ev;1959; Ornitologiya. (Ornithology); Wintering birds in the northern part of Novaya Zemlya. (in Russian);;;2;99-101;1959; Wintering birds in the northern part of Novaya Zemlya. (in Russian);760; Barents Sea, Novaya Zemlya, Many orders, Wintering, Distribution, Movements;;;
  Conference Proceedings;212; V. E. Flint and R. L. Boehme;;; Ornithological findings in the White Sea. (in Russian);; Moscow;3;25;18-25 August 1959; Ornithological findings in the White Sea. (in Russian);810; White Sea, Many orders, Distribution;;;
  Conference Proceedings;228; T. D. Gerasimova;;; Change of the number of Eiders in the Kandalaksha Bay. (in Russian);; Moscow;3;14-15;18-25 August 1959; Change of the number of Eiders in the Kandalaksha Bay. (in Russian);790; White Sea, Common Eider, Population trends, Distribution, Harvesting, Management;;;
  Journal Article;236; T. D. Gerassimova and N. N. Skokova;1959; Ornitologiya. (Ornithology); Ornithogeographical characteristics of the Ainov islands. (in Russian);;;2;91-98;1959; Ornithogeographical characteristics of the Ainov islands. (in Russian);880; Barents Sea, Murman, Many Orders, Distribution, Habitat;;;
  Book;303; V. I. Kapitonov;1959;; The biology of the Eider of the Kandalaksha Bay. (in Russian); Trudy NII selskogo khozyaystva Kraynego Cevera (Transactions of the Sci. Inst. of Far Noth Agriculture);;9;216-237;1959; The biology of the Eider of the Kandalaksha Bay. (in Russian);1040; White Sea, Common Eider, Population size, Breeding;;;
  Conference Proceedings;486; M. F. Nikitenko;;; Some ecological and morphological differencies between gulls of the Black Sea and the Barents Sea. (in Russian);; Moscow;1;31-32;18-25 August 1959; Some ecological and morphological differencies between gulls of the Black Sea and the Barents Sea. (in Russian);770; Barents Sea, Murman, Gulls, Biometry, Breeding;;;
  Conference Proceedings;487; M. F. Nikitenko;;; Comparative characteristics of anatomical and functional differences between gulls from the Black and Barents seas in relation to their lifestyle and behaviour. (in Russian);; Leningrad-Moscow;2;70-71;1959; Comparative characteristics of anatomical and functional differences between gulls from the Black and Barents seas in relation to their lifestyle and behaviour. (in Russian);1670; Barents Sea, Murman, Gulls, Biometry, Behaviour;;;
  Book;502; V. Y. Parovshchikov;1959;; New data on the birds of the Arkhangelsk North. (in Russiam); Ornitologiya. (Ornithology); Moscow;2;102-103;1959; New data on the birds of the Arkhangelsk North. (in Russiam);5040; White Sea, Many orders, Distribution;;;
  Conference Proceedings;542; V. V. Rolnik;;; The influence of experimental starving on the metabolism of the chicks of some northern birds. (in Russian);; Leningrad-Moscow;2;88-89;1959; The influence of experimental starving on the metabolism of the chicks of some northern birds. (in Russian);1680; Gulls, Alcids, Breeding, Physiology, Energetics;;;
  Conference Proceedings;543; V. V. Rolnik;;; Some peculiarities in the ontogenetic development of nothern birds under different nesting conditions;; Leningrad-Moscow;2;90-91;1959; Some peculiarities in the ontogenetic development of nothern birds under different nesting conditions;1690; Barents Sea, Alcids, Gulls, Eider, Breeding, Physiology;;;
  Conference Proceedings;586; N. N. Skokova, V. V. Biancki, S. V. Skalinov and V. B. Zimin;;; The bird migration near the west-coast of the White Sea. (in Russian);; Moscow;2;87-88;18-25 August 1959; The bird migration near the west-coast of the White Sea. (in Russian);780; White Sea, Many orders, Movements;;;
  Journal Article;669; S. M. Uspenski;1959; Byulleten MOIP. Novaya seriya.Otd. biol. (Bulletin of the Moscow Society of Nature Explorers. New seria. Biological division); Colonial seabirds of the north and seas of the far east of the USSR, their distribution, number and role as consumers of plankton and bentos. (in Russian);;;64;39-52;1959; Colonial seabirds of the north and seas of the far east of the USSR, their distribution, number and role as consumers of plankton and bentos. (in Russian);1940; Barents Sea, White Sea, Alcids, Gulls, Population size, Distribution, Diet, Foraging;;;
  Book;670; S. M. Uspenski;1959;; The Brant Goose (Branta bernicla) in the Soviet Union. (in Russian); Migratsya zhivotnikh (Animal migration); Moscow;1;124-138;1959; The Brant Goose (Branta bernicla) in the Soviet Union. (in Russian);2030; Barents Sea, Barnacle Goose, Distribution, Population size, Breeding, Management;;;
  Book;74; V. V. Biancki;1960;;The bird migration in the vicinity of the Virma village, autumn 1958. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Proceedings of Kandalaksha State Reserve); Murmansk;3;175-190;1960;The bird migration in the vicinity of the Virma village, autumn 1958. (in Russian);660; White Sea, Many Orders, Movement, Phenology;Registered 88 433 birds of 92 species,  mostly waterfowl in Onega bay migrating in SW direction;;
  Book;75; V. V. Biancki;1960;; Nonbreeding Alcid species (Alcae) of the Kandalaksha Bay (in Russian); Trudy Kandalakskogo gosudarstvennogo zapovednika (Transactions of Kandalaksha State  Reserve); Murmansk;2;113-121;1960; Nonbreeding Alcid species (Alcae) of the Kandalaksha Bay (in Russian);620; White Sea, Alcids, Distribution, Movements;;;
  Book;77; V. V. Biancki;1960;; The Peregrine Falcon of the Kandalaksha Bay. (in Russian); Ornitologiya. (Ornithology); Moscow;;71-79;1960; The Peregrine Falcon of the Kandalaksha Bay. (in Russian);2900; White sea, Larids, Eiders, Predators;;;ProCite field[24]: 3
  Book;121; V. V. Biancki and A. I. Flerov;1960;; List of the birds of the Kandalaksha reserve and its seashore. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transactions of the Kandalaksha State Reserve); Murmansk;2;105-112;1960; List of the birds of the Kandalaksha reserve and its seashore. (in Russian);690; Barents Sea, Murman, White Sea, Many orders, Distribution;;;
  Book;122; V. V. Biancki and T. D. Gerasimova;1960;;The results of bird ringing in the Kandalaksha reserve in 1936-1958. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transactions of Kandalaksha State Reserve); Murmansk;3;199-262;1960;The results of bird ringing in the Kandalaksha reserve in 1936-1958. (in Russian);670; Barents Sea, Murman, White Sea, Many  Orders, Banding, Movements; Concrete results of rings recovery from land- and seabirds on Murman and in the Kandalaksha Bay;;
  Book;141; K. N. Blagosklonov;1960;; Birds of the Kandalaksha reserve and the enviroment of the Moscow University's Biological Station of the White Sea. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transactions of Kandalaksha State Reserve); Murmansk;2;5-104;1960; Birds of the Kandalaksha reserve and the enviroment of the Moscow University's Biological Station of the White Sea. (in Russian);720; White Sea, Many Orders, Distribution;;;
  Book;204; A. I. Flerov and S. V. Skalinov;1960;;The bird migration in the autumn in the region of Kem-luda islands, 1958. (in Russian); Trudy Kandalakshskogo gosudarstvennodo zapovednika (Transactions of Kandalaksha State Reserve); Murmansk;3;145-151;1960;The bird migration in the autumn in the region of Kem-luda islands, 1958. (in Russian);2070; White Sea, Many orders, Movement;Autumn migration 1958 was weak in SW, N and NW;;
  Book;234; T. D. Gerasimova and Z. M. Baranova;1960;; The ecology of Common Eider (Somateria mollissima) in the Kandalaksha reserve. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transaction of Kandalaksha State Reserve); Murmansk;3;8-90;1960; The ecology of Common Eider (Somateria mollissima) in the Kandalaksha reserve. (in Russian);920; White Sea, Barents Sea, Murman, Common Eider, Breeding, Distribution, Population size, Harvesting, Management, Diet, Phenology, Movements, Survival, Parasites, Population trend, Predators, Moult, Habitat, Methodology;" Description of the Kandalaksha reserve; distribution of nests; dates of nesting; incubation; mortality of eggs; hatching; chick growth; mortality, seasonal and age moulting of subadult; wintering; seasonal female food, diet, ration, relations, predators, parasites, dynamics of  number; protection; usage";;
  Journal Article;335; N. N. Kartashev;1960; Nauchnye doklady vysshey shkoly, biol. nauki, zoologiya (Scientific reports of the high school, biol. sci., zoology); On the types of the postembrionic development in birds. (in Russian);;;2;33-38;1960; On the types of the postembrionic development in birds. (in Russian);3050; Many orders, Physiology;;;
  Book;351; A. A. Kishchinski;1960;; The avifauna and its ecology in the Teriberski area of the Murmansk region. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transactions of Kandalaksha State Reserve); Murmansk;2;112-212;1960; The avifauna and its ecology in the Teriberski area of the Murmansk region. (in Russian);2830; Barents Sea, Murman, Many Orders, Distribution, Breeding;;;
  Book;375; V. D. Kokhanov and N. N. Skokova;1960;;The bird migration in the Kandalaksha Bay, 1958. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transactions of the Kandalaksha State Reserve); Murmansk;3;121-132;1960;The bird migration in the Kandalaksha Bay, 1958. (in Russian);1210; White Sea, Gulls, Waders, Geese, Ducks, Falconiformes, Passerines, Movements, Phenology; Dates and amount of birds migrating through the Kandalaksha Bay Islands;;
  Book;428; V. G. Kulachkova;1960;; The mortality of the chicks of the Common Eider, and its causes. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transactions of the Kandalaksha State Reserve); Murmansk;3;91-106;1960; The mortality of the chicks of the Common Eider, and its causes. (in Russian);1260; White Sea, Common Eider, Survival, Parasites;" Chick mortality, age; distribution along bay and reserve islands; datas of mortality; helmints invasia; profilactic measures";;
  Book;435; E. N. Kurochkin and T. D. Gerasimova;1960;; Winter and early spring observations of seabirds in the vicinity of the Murman Coast. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transaction of the Kandalaksha State Reserve); Murmansk;3;195-198;1960; Winter and early spring observations of seabirds in the vicinity of the Murman Coast. (in Russian);1280; Barents Sea, Murman, Many orders, Movements; Observations of different species, their number, distribution;;
  Book;436; E. N. Kurochkin and N. N. Skokova;1960;;Bird migrations on the Kandalaksha skerries in the autumn of 1958 (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transactions of the Kalaksha State Reserve); Murmansk;3;133-144;1960;Bird migrations on the Kandalaksha skerries in the autumn of 1958 (in Russian);1270; White Sea, Gulls, Waders, Geese, Ducks, Passerines, Movements; Dates and amount of birds migrating along the Kandalaksha Bay;;
  Journal Article;440; V. V. Leonovich;1960; Byulleten Moskovskogo obshchestva ispytatelej prirody. Ser. zool. (Bulletin of the Moscow society of nature explorers. Zool. department); Ornithological research at the eastern coast of the White Sea. (in Russian);;;4;;1960; Ornithological research at the eastern coast of the White Sea. (in Russian);4580; White Sea, Many orders, Distribution;;;
  Journal Article;526; L. A. Portenko;1960; Aquila; A madarak vonulasanak sajatossagai az Arktiszban  (Peculiarities of bird-migration in the Arctic);;;66;119-134;1960; A madarak vonulasanak sajatossagai az Arktiszban  (Peculiarities of bird-migration in the Arctic);1850; Barents Sea, Many orders, Movements;;;
  Book;578; S. V. Skalinov;1960;; Early spring observations of birds in the nothern part and the mouth of the White Sea. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transactions of the Kandalaksha State Reserve); Murmansk;3;191-194;1960; Early spring observations of birds in the nothern part and the mouth of the White Sea. (in Russian);1610; White Sea, Many Orders, Movement, Common Eider, King Eider;;;
  Book;579; N. N. Skokova;1960;;The bird migration near the Pongoma village in the autumn 1958. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transactions of the Kandalaksha State Reserve); Murmansk;3;152-174;1960;The bird migration near the Pongoma village in the autumn 1958. (in Russian);1650; White Sea, Many Orders, Movement; Migration and wind orientation. Mostly Passerines in W direction. Intensity of migration depends on rain and strong winds.;;
  Book;597; E. P. Spangenberg and V. V. Leonovich;1960;; Birds at the north-east shore of the White Sea. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika. (Transactions  of the Kandalaksha State Reserve); Murmansk;2;213-336;1960; Birds at the north-east shore of the White Sea. (in Russian);1730; White Sea, Many Orders, Distribution;;;
  Journal Article;671; S. M. Uspenski;1960; Ornitologiya. (Ornithology); Zonality by latitude of the arctic avifauna;;;3;55-70;1960; Zonality by latitude of the arctic avifauna;2040; Barents Sea, Many orders, Distribution;;;
  Journal Article;690; S. M. Uspenski and Y. I. Chernov;1960; Okhrana prirody i ozelenenie (Nature  conservation and planting); The Waterfowls of the Vaygatch Island and the Yugorski Peninsula, and their protection. (in Russian);;;2;47-53;1960; The Waterfowls of the Vaygatch Island and the Yugorski Peninsula, and their protection. (in Russian);1900; Barents Sea, Nenets District, Geese, Ducks, Distribuution, Management;;;
  Conference Proceedings;229; T. D. Gerasimova;;; Census-results of the colonial seabird and the Eider at the  Murman coast. (in Russian);; Moscow;;118-119;4-8 March 1961; Census-results of the colonial seabird and the Eider at the  Murman coast. (in Russian);2540; Barents Sea, Murman, Common Eider, Larids, Alcids, Population size, Distribution, Methodology;;;
  Book;305; V. N. Karpovich;1961;; The work of the Nothern ornithological station. (in Russian)..; Soobscheniya Pribaltijskoy komissii po izucheniyu migratsij ptits. (Reports of Pribaltic comissiom on the bird migration); Tartu;1;43-52;1961; The work of the Nothern ornithological station. (in Russian)..;3420; White sea, Many Orders, Movements, Distribution, Breeding; Brief description of current project on bird migration and ecology;;
  Conference Proceedings;336; N. N. Kartashev;;; Review of the census methods of Larids and Alcids stocks. (in Russian);; Moscow;;117-118;4-8 March, 1961; Review of the census methods of Larids and Alcids stocks. (in Russian);2790; Barents Sea, White Sea, Larids, Alcids, Census, Sampling Design;;;
  Book;429; V. G. Kulachkova;1961;;Annual and seasonal changes of JanoveHydrobia invasions by the larvas of Paramonostomm alveatum (Mehlis, 1846) Luhe, 1909 (Trematodes). (in Russian); Trudy Karelskogo filiala AN SSSR. Voprosy parazitologii Karelii. (Transactions of the Karelia branch Ac. Sci. of the USSR. Parasitological problems of Karelia); Petrozavodsk;30;79-89;1961;Annual and seasonal changes of JanoveHydrobia invasions by the larvas of Paramonostomm alveatum (Mehlis, 1846) Luhe, 1909 (Trematodes). (in Russian);4530; Common Eider, Parasites;;;
  Journal Article;576; D. A. Shubnikov and O. N. Shubnikova;1961; Priroda  (Nature); Seabirds and their reconnaissance of herring. (in Russian);;;11;108-109;1961; Seabirds and their reconnaissance of herring. (in Russian);2140; Barents Sea, Gulls, Foraging, Alcids, Fulmar, Distribution;;;
  Book;580; N. N. Skokova;1961;;A brief review of the visible bird migration in the White Sea region, 1958-1959; Soobshchenie Pribaltijskoy komissii po izucheniyu migratsij ptits. (Pribaltic Commissiom report on the bird migration study);;1;53-59;1961;A brief review of the visible bird migration in the White Sea region, 1958-1959;1630; White Sea, Many orders, Common Eider, Movements;;;
  Journal Article;672; S. M. Uspenski;1961; Priroda. (Nature); The arctic fauna. (in Russian);;;8;33-41;1961; The arctic fauna. (in Russian);5830; Barents Sea, Many orders, Distribution;;;
  Conference Proceedings;78; V. V. Biancki;;; Seabird nesting: Dates in the Kandalaksha Bay  (White Sea), and influencing causes. (in Russian);; Lvov;1;39-40;1962; Seabird nesting: Dates in the Kandalaksha Bay  (White Sea), and influencing causes. (in Russian);2910; White Sea, Alcids, Larids, Waders, Breeding, Phenology;;;
  Journal Article;167; Y. I. Chernov and S. M. Uspenski;1962; Byulleten MOIP, otdelenie biologicheskoe. (Bulletin of the Moscow society of nature explorers. Biol. Department); The role of insects in the diet of some Arctic birds. (in Russian);;;67;26;1962; The role of insects in the diet of some Arctic birds. (in Russian);6210; Barents Sea, Nenets district, King Eider, Diet;;;
  Journal Article;230; T. D. Gerasimova;1962; Ornitologiya. (Ornithology); The status of the seabird colonies at the Murman coast. (in Russian);;;4;11-14;1962; The status of the seabird colonies at the Murman coast. (in Russian);900; Barents Sea, Murman, Larids, Alcids, Population size, Distribution;;;
  Conference Proceedings;231; T. D. Gerasimova;;; The role of the Murman coast gulls in the biocenosises of islands. (in Russian);; Lvov;1;96-97;11-17 September 1962; The role of the Murman coast gulls in the biocenosises of islands. (in Russian);1360; Larids, Barents Sea, Murman, Foraging, Diet;;;
  Book;232; T. D. Gerasimova;1962;; Gaga - tsenneyshaya ptitsa Severa. (in Russian). (Eider - the most valuable bird of the North);; Murmansk;;27;1962; Gaga - tsenneyshaya ptitsa Severa. (in Russian). (Eider - the most valuable bird of the North);3200; Common Eider, Popularized paper, Barents Sea, White sea, Behavior, Breeding, Distribution, Population size, Harvesting, Management, Diet, Foraging, Movements, Parasites, Predators, Methodology;;;
  Conference Proceedings;319; V. N. Karpovich and V. D. Kokhanov;;; New data on avifauna of the Vaygach island and the north-eastern part of the Yugorski Peninsula. (in Russian);; Lvov;2;12-13;1962; New data on avifauna of the Vaygach island and the north-eastern part of the Yugorski Peninsula. (in Russian);3620; Barents Sea, Nenets district, Great Black-backed Gull, Kittiwake, Population size;;;
  Conference Proceedings;337; N. N. Kartashev;;; The quantitative  characteristics of the birdfauna of the Solovetski Islands (White Sea). (in Russian);; Lvov;2;13-14;11-17 September 1962; The quantitative  characteristics of the birdfauna of the Solovetski Islands (White Sea). (in Russian);1370; White Sea, Many orders, Population size;;;
  Book;443; V. V. Makarov;1962;; The Common Eider wintering and spring migration, in the mouth of the White Sea. (in Russian); Ornitologiya. (Ornithology); Moscow;5;28-30;1962; The Common Eider wintering and spring migration, in the mouth of the White Sea. (in Russian);4600; White Sea, Common Eider, Movements, Survival, Phenology;;;
  Book;444; R. I. Malyshevski;1962;; Bird observations in summertime at the Terski coast, the White Sea. (in Russian); Ornitologiya. (Ornithology); Moscow;5;13-27;1962; Bird observations in summertime at the Terski coast, the White Sea. (in Russian);4610; White Sea, Common Eder, Movements, Distribution;;;
  Book;503; V. Y. Parovshchikov;1962;; The birds of the Zemlya Alexandry. (in Russian); Ornitologiya. (Ornithology); Moscow;4;7-10;1962; The birds of the Zemlya Alexandry. (in Russian);1450; Barents Sea, Frans Josef Land, Common Eider, Ross Gull, Barnacle Goose, Distribution;;;
  Conference Proceedings;546; N. A. Rubinstein;;; Peculiarities in the nesting of waders, and their autumn migration at the Ainov Islands. (in Russian);; Moscow;;103-104;21-25 August 1962; Peculiarities in the nesting of waders, and their autumn migration at the Ainov Islands. (in Russian);1460; Barents Sea, Murman, Waders, Movements, Breeding, Distribution;;;
  Conference Proceedings;581; N. N. Skokova;;; Some factors determining the status of the Puffin population of the Ainov Islands. (in Russian);; Lvov;2;184-185;11-17  September 1962; Some factors determining the status of the Puffin population of the Ainov Islands. (in Russian);1380; Barents Sea, Murman, Puffin, Population size, Prey stock, Foraging, Predators, Habitat;;;
  Book;582; N. N. Skokova;1962;; The Puffin of the Ainov Islands. (in Russian); Ornitologiya. (Ornithology); Moscow;5;7-12;1962; The Puffin of the Ainov Islands. (in Russian);1660; Barents Sea, Murman, Puffin, Population size, Breeding, Diet, Foraging, Predators, Habitat, Phenology;;;
  Book;716; E. A. Zelickman;1962;;Larvae of the trematod family Gymnophallidae Morosov 1955 (Trematoda: Digenea), and their development. (in Russian); Trudy Murmanskogo morskogo biologicheskogo instituta. (Proceedings of the Murman marine biological institute);;4 (8);186-201;1962;Larvae of the trematod family Gymnophallidae Morosov 1955 (Trematoda: Digenea), and their development. (in Russian);3300; White Sea, Common Eider, Parasites;;;
  Book;79; V. V. Biancki;1963;; Number and distribution of the seabirds in the western part of the White Sea. (in Russian); Problemy ispolzovaniya promyslovykh resursov Belogo morya i vnutrennikh vodoemov Karelii. (Problems with using the economic resourses of the White Sea and inner reservoirs of Karelia); Moscow - Leningrad;1;161-167;1963; Number and distribution of the seabirds in the western part of the White Sea. (in Russian);700; White sea, Many Orders, Distribution, Population size;;;
  Conference Proceedings;80; V. V. Biancki;;; The migrations of the Common Gulls of the Kandalaksha Bay. (in Russian);; Tartu;;10-12;1963; The migrations of the Common Gulls of the Kandalaksha Bay. (in Russian);1800; White Sea, Common Gull, Movements;;;
  Conference Proceedings;81; V. V. Biancki;;; Five years work of the Northern ornithological station. (in Russian);; Tartu;;12-14;1963; Five years work of the Northern ornithological station. (in Russian);1810; White Sea, Many orders, Movements, Distribution, Phenology;;;
  Book;183; E. P. Dorosh;1963;; The invertebrate foodstock of birds and fishes in the littoral of islands in the Kandalaksha Bay of the White Sea. (in Russian); Trudy Kandalakshskogo gosdarstvennogo zapovednika. (Transactions of Kandalaksha State Reserve); Voronezh;4;54-68;1963; The invertebrate foodstock of birds and fishes in the littoral of islands in the Kandalaksha Bay of the White Sea. (in Russian);2650; White Sea, Gulls, Ducks, Common Eider, Prey stock;;;
  Journal Article;246; A. N. Golovkin;1963; Zoologicheski zhurnal. (Zoological journal); The fish consumption by guillemots and kittiwakes during the nesting period in the Barents Sea. (in Russian);;;42;408-416;1963; The fish consumption by guillemots and kittiwakes during the nesting period in the Barents Sea. (in Russian);980; Barents Sea, Murres, Kittiwakes, Diet, Foraging, Prey stocks;;;
  Conference Proceedings;287; E. V. Ivanter;;; Number, distribution and autumn migration of birds in the region of Chupinskaya Bay, White Sea. (in Russian);; Tartu;;74-77;1963; Number, distribution and autumn migration of birds in the region of Chupinskaya Bay, White Sea. (in Russian);3340; White sea, Common Eider, Movements, Distribution, Population trends;;;
  Book;291; E. V. Ivanter, N. V. Vinogragova and M. E. Shumakov;1963;;Bird migration in the Karelia, autumn 1961. (in Russian).; Soobschenie Pribaltijskoy Comissii po izucheniyu migratsij ptits. (Reports of the Pribaltic Commission on the study of bird migration);;2;59-66;1963;Bird migration in the Karelia, autumn 1961. (in Russian).;3360; White Sea, Common Eider, Movement;;;
  Conference Proceedings;320; V. N. Karpovich and V. D. Kokhanov;;; Counting of game birds at the Vaygach Island. (in Russian);; Moscow;;91-99;1963; Counting of game birds at the Vaygach Island. (in Russian);3630; Barents Sea, Nenets district, Common Eider, King Eider, Distribution, Movements;;;
  Book;338; N. N. Kartashev;1963;; The quantitative characteristics of the Solovetski Islands avifauna. (in Russian); Ornitologiya. (Ornithology); Moscow;6;23-36;1963; The quantitative characteristics of the Solovetski Islands avifauna. (in Russian);1080; White Sea, Many Orders, Distribution, Population size;;;
  Conference Proceedings;339; N. N. Kartashev;;; Some physiological indexes of the seabirds of the Barents Sea. (in Russian);; Tartu;;81-82;1963; Some physiological indexes of the seabirds of the Barents Sea. (in Russian);1820; Barents Sea, Murman, Alcids, Gulls, Physiology, Biometry;;;
  Book;340; N. N. Kartashev;1963;; A brief review of census methods for stocks of Larids and Alcids. (in Russian); Organizatsiya i metody ycheta ptits i vrednykh gryzunov (Methods for managing and censusing birds and harmful rodents census); Moscow;;100-110;1963; A brief review of census methods for stocks of Larids and Alcids. (in Russian);2800; Larids, Alcids, Census, Sampling Design;;;
  Conference Proceedings;353; V. D. Kokhanov;;; Spring migration of birds in the region of the Ainov Islands. (in Russian);; Tartu;;95-97;1963; Spring migration of birds in the region of the Ainov Islands. (in Russian);3900; Barents Sea, Murman, Many orders, Movements;;;
  Book;445; R. I. Malyshevski;1963;; Avifauna of the Terski coast, the White Sea. (in Russian); Ornotologiya. (Ornithology); Moscow;6;475;1963; Avifauna of the Terski coast, the White Sea. (in Russian);4620; White Sea, Many orders, Distribution;;;
  Conference Proceedings;488; M. F. Nikitenko;;; Ecological and morphological characteristics of the cerebrum of some alcids. (in Russian);; Tartu;;145-149;1963; Ecological and morphological characteristics of the cerebrum of some alcids. (in Russian);4950; Barents Sea, Alcids, Biometry, Physiology;;;
  Book;504; V. Y. Parovshchikov;1963;; New birds of the Zemlya Alexandry. (in Russian); Ornitologiya. (Ornithology); Moscow;6;481;1963; New birds of the Zemlya Alexandry. (in Russian);1440; Barents Sea, Frans Josef Land, Many orders, Distribution;;;
  Book;511; N. A. Pertsov;1963;; Some data on the feeding of birds inhabiting the North Archipilago Islands of the Kandalaksha reserve. (in Russian); Trudy Kandalakshskogo gosudarstvennogo zapovednika (Transactions of the Kandalaksha State Reserve); Voronezh;4;29-34;1963; Some data on the feeding of birds inhabiting the North Archipilago Islands of the Kandalaksha reserve. (in Russian);1480; White Sea, Common Eider, Gulls, Waders, Terns, Diet;;;
